#    L    TT             EE             TE          
   168    0.52455E+03    0.89785E-01   -0.25398E+01
   169    0.53133E+03    0.91747E-01   -0.25888E+01
   170    0.53816E+03    0.93713E-01   -0.26381E+01
   171    0.54505E+03    0.95683E-01   -0.26874E+01
   172    0.55199E+03    0.97656E-01   -0.27369E+01
   173    0.55900E+03    0.99629E-01   -0.27864E+01
   174    0.56606E+03    0.10160E+00   -0.28361E+01
   175    0.57318E+03    0.10357E+00   -0.28857E+01
   176    0.58036E+03    0.10554E+00   -0.29354E+01
   177    0.58759E+03    0.10750E+00   -0.29851E+01
   178    0.59489E+03    0.10946E+00   -0.30347E+01
   179    0.60224E+03    0.11142E+00   -0.30842E+01
   180    0.60966E+03    0.11337E+00   -0.31336E+01
   181    0.61713E+03    0.11531E+00   -0.31827E+01
   182    0.62466E+03    0.11725E+00   -0.32317E+01
   183    0.63225E+03    0.11918E+00   -0.32804E+01
   184    0.63989E+03    0.12110E+00   -0.33288E+01
   185    0.64760E+03    0.12301E+00   -0.33769E+01
   186    0.65536E+03    0.12492E+00   -0.34245E+01
   187    0.66318E+03    0.12681E+00   -0.34718E+01
   188    0.67106E+03    0.12870E+00   -0.35186E+01
   189    0.67900E+03    0.13057E+00   -0.35649E+01
   190    0.68700E+03    0.13244E+00   -0.36106E+01
   191    0.69505E+03    0.13429E+00   -0.36558E+01
   192    0.70317E+03    0.13612E+00   -0.37003E+01
   193    0.71134E+03    0.13795E+00   -0.37442E+01
   194    0.71957E+03    0.13976E+00   -0.37873E+01
   195    0.72786E+03    0.14156E+00   -0.38298E+01
   196    0.73620E+03    0.14334E+00   -0.38714E+01
   197    0.74461E+03    0.14511E+00   -0.39122E+01
   198    0.75307E+03    0.14686E+00   -0.39521E+01
   199    0.76159E+03    0.14859E+00   -0.39912E+01
   200    0.77017E+03    0.15031E+00   -0.40293E+01
   201    0.77881E+03    0.15200E+00   -0.40663E+01
   202    0.78750E+03    0.15368E+00   -0.41024E+01
   203    0.79626E+03    0.15535E+00   -0.41373E+01
   204    0.80506E+03    0.15700E+00   -0.41711E+01
   205    0.81393E+03    0.15863E+00   -0.42036E+01
   206    0.82285E+03    0.16026E+00   -0.42348E+01
   207    0.83182E+03    0.16186E+00   -0.42646E+01
   208    0.84085E+03    0.16346E+00   -0.42930E+01
   209    0.84994E+03    0.16504E+00   -0.43199E+01
   210    0.85907E+03    0.16662E+00   -0.43452E+01
   211    0.86826E+03    0.16818E+00   -0.43690E+01
   212    0.87750E+03    0.16973E+00   -0.43910E+01
   213    0.88679E+03    0.17128E+00   -0.44113E+01
   214    0.89614E+03    0.17282E+00   -0.44297E+01
   215    0.90553E+03    0.17435E+00   -0.44463E+01
   216    0.91498E+03    0.17588E+00   -0.44610E+01
   217    0.92447E+03    0.17740E+00   -0.44736E+01
   218    0.93401E+03    0.17891E+00   -0.44842E+01
   219    0.94360E+03    0.18043E+00   -0.44926E+01
   220    0.95324E+03    0.18194E+00   -0.44989E+01
   221    0.96292E+03    0.18345E+00   -0.45028E+01
   222    0.97265E+03    0.18495E+00   -0.45045E+01
   223    0.98243E+03    0.18646E+00   -0.45038E+01
   224    0.99226E+03    0.18797E+00   -0.45006E+01
   225    0.10021E+04    0.18948E+00   -0.44949E+01
   226    0.10120E+04    0.19099E+00   -0.44866E+01
   227    0.10220E+04    0.19250E+00   -0.44757E+01
   228    0.10320E+04    0.19402E+00   -0.44621E+01
   229    0.10420E+04    0.19554E+00   -0.44457E+01
   230    0.10521E+04    0.19707E+00   -0.44265E+01
   231    0.10622E+04    0.19861E+00   -0.44043E+01
   232    0.10724E+04    0.20015E+00   -0.43793E+01
   233    0.10826E+04    0.20170E+00   -0.43511E+01
   234    0.10929E+04    0.20325E+00   -0.43200E+01
   235    0.11032E+04    0.20482E+00   -0.42856E+01
   236    0.11135E+04    0.20640E+00   -0.42481E+01
   237    0.11238E+04    0.20798E+00   -0.42072E+01
   238    0.11343E+04    0.20958E+00   -0.41630E+01
   239    0.11447E+04    0.21119E+00   -0.41155E+01
   240    0.11552E+04    0.21282E+00   -0.40644E+01
   241    0.11657E+04    0.21446E+00   -0.40098E+01
   242    0.11762E+04    0.21611E+00   -0.39517E+01
   243    0.11868E+04    0.21778E+00   -0.38898E+01
   244    0.11974E+04    0.21948E+00   -0.38243E+01
   245    0.12081E+04    0.22120E+00   -0.37550E+01
   246    0.12188E+04    0.22295E+00   -0.36819E+01
   247    0.12295E+04    0.22474E+00   -0.36049E+01
   248    0.12402E+04    0.22658E+00   -0.35240E+01
   249    0.12510E+04    0.22847E+00   -0.34392E+01
   250    0.12618E+04    0.23042E+00   -0.33504E+01
   251    0.12726E+04    0.23243E+00   -0.32575E+01
   252    0.12834E+04    0.23450E+00   -0.31605E+01
   253    0.12943E+04    0.23665E+00   -0.30594E+01
   254    0.13051E+04    0.23889E+00   -0.29541E+01
   255    0.13160E+04    0.24121E+00   -0.28445E+01
   256    0.13269E+04    0.24362E+00   -0.27307E+01
   257    0.13379E+04    0.24613E+00   -0.26125E+01
   258    0.13488E+04    0.24874E+00   -0.24899E+01
   259    0.13597E+04    0.25146E+00   -0.23628E+01
   260    0.13707E+04    0.25430E+00   -0.22313E+01
   261    0.13817E+04    0.25726E+00   -0.20952E+01
   262    0.13927E+04    0.26035E+00   -0.19545E+01
   263    0.14036E+04    0.26357E+00   -0.18093E+01
   264    0.14146E+04    0.26693E+00   -0.16593E+01
   265    0.14256E+04    0.27044E+00   -0.15045E+01
   266    0.14366E+04    0.27410E+00   -0.13450E+01
   267    0.14476E+04    0.27791E+00   -0.11807E+01
   268    0.14586E+04    0.28189E+00   -0.10115E+01
   269    0.14696E+04    0.28604E+00   -0.83734E+00
   270    0.14806E+04    0.29036E+00   -0.65822E+00
   271    0.14916E+04    0.29486E+00   -0.47406E+00
   272    0.15026E+04    0.29955E+00   -0.28483E+00
   273    0.15136E+04    0.30443E+00   -0.90469E-01
   274    0.15245E+04    0.30950E+00    0.10906E+00
   275    0.15355E+04    0.31479E+00    0.31382E+00
   276    0.15464E+04    0.32028E+00    0.52385E+00
   277    0.15574E+04    0.32599E+00    0.73921E+00
   278    0.15683E+04    0.33192E+00    0.95993E+00
   279    0.15792E+04    0.33807E+00    0.11861E+01
   280    0.15901E+04    0.34446E+00    0.14177E+01
   281    0.16009E+04    0.35109E+00    0.16548E+01
   282    0.16118E+04    0.35797E+00    0.18975E+01
   283    0.16226E+04    0.36509E+00    0.21458E+01
   284    0.16334E+04    0.37248E+00    0.23998E+01
   285    0.16442E+04    0.38013E+00    0.26595E+01
   286    0.16549E+04    0.38805E+00    0.29248E+01
   287    0.16656E+04    0.39625E+00    0.31957E+01
   288    0.16763E+04    0.40475E+00    0.34722E+01
   289    0.16870E+04    0.41355E+00    0.37543E+01
   290    0.16976E+04    0.42267E+00    0.40418E+01
   291    0.17082E+04    0.43211E+00    0.43347E+01
   292    0.17187E+04    0.44189E+00    0.46330E+01
   293    0.17293E+04    0.45202E+00    0.49366E+01
   294    0.17397E+04    0.46250E+00    0.52455E+01
   295    0.17502E+04    0.47335E+00    0.55597E+01
