#    L    TT             EE             TE          
   209    0.33459E+00    0.14048E-03   -0.48022E-02
   210    0.33638E+00    0.13944E-03   -0.47891E-02
   211    0.33817E+00    0.13837E-03   -0.47745E-02
   212    0.33994E+00    0.13727E-03   -0.47585E-02
   213    0.34170E+00    0.13615E-03   -0.47409E-02
   214    0.34344E+00    0.13500E-03   -0.47218E-02
   215    0.34516E+00    0.13382E-03   -0.47013E-02
   216    0.34687E+00    0.13262E-03   -0.46792E-02
   217    0.34856E+00    0.13140E-03   -0.46556E-02
   218    0.35024E+00    0.13015E-03   -0.46305E-02
   219    0.35190E+00    0.12888E-03   -0.46039E-02
   220    0.35354E+00    0.12760E-03   -0.45757E-02
   221    0.35517E+00    0.12629E-03   -0.45460E-02
   222    0.35677E+00    0.12497E-03   -0.45148E-02
   223    0.35836E+00    0.12363E-03   -0.44821E-02
   224    0.35993E+00    0.12227E-03   -0.44478E-02
   225    0.36148E+00    0.12090E-03   -0.44119E-02
   226    0.36302E+00    0.11952E-03   -0.43745E-02
   227    0.36453E+00    0.11812E-03   -0.43356E-02
   228    0.36602E+00    0.11672E-03   -0.42950E-02
   229    0.36750E+00    0.11530E-03   -0.42530E-02
   230    0.36895E+00    0.11387E-03   -0.42093E-02
   231    0.37038E+00    0.11244E-03   -0.41641E-02
   232    0.37179E+00    0.11100E-03   -0.41173E-02
   233    0.37318E+00    0.10955E-03   -0.40689E-02
   234    0.37455E+00    0.10810E-03   -0.40189E-02
   235    0.37590E+00    0.10665E-03   -0.39673E-02
   236    0.37722E+00    0.10519E-03   -0.39142E-02
   237    0.37852E+00    0.10373E-03   -0.38594E-02
   238    0.37980E+00    0.10227E-03   -0.38031E-02
   239    0.38105E+00    0.10081E-03   -0.37451E-02
   240    0.38228E+00    0.99355E-04   -0.36855E-02
   241    0.38349E+00    0.97901E-04   -0.36243E-02
   242    0.38467E+00    0.96451E-04   -0.35615E-02
   243    0.38583E+00    0.95007E-04   -0.34970E-02
   244    0.38696E+00    0.93569E-04   -0.34310E-02
   245    0.38807E+00    0.92140E-04   -0.33633E-02
   246    0.38915E+00    0.90721E-04   -0.32941E-02
   247    0.39021E+00    0.89316E-04   -0.32234E-02
   248    0.39124E+00    0.87924E-04   -0.31511E-02
   249    0.39225E+00    0.86550E-04   -0.30773E-02
   250    0.39323E+00    0.85193E-04   -0.30020E-02
   251    0.39418E+00    0.83856E-04   -0.29252E-02
   252    0.39511E+00    0.82542E-04   -0.28469E-02
   253    0.39601E+00    0.81251E-04   -0.27673E-02
   254    0.39689E+00    0.79986E-04   -0.26862E-02
   255    0.39774E+00    0.78748E-04   -0.26037E-02
   256    0.39856E+00    0.77540E-04   -0.25198E-02
   257    0.39935E+00    0.76364E-04   -0.24345E-02
   258    0.40012E+00    0.75221E-04   -0.23479E-02
   259    0.40086E+00    0.74113E-04   -0.22600E-02
