#    L    TT             EE             TE          
   266    0.65403E+02    0.49828E-01    0.10734E+01
   267    0.65140E+02    0.51324E-01    0.10911E+01
   268    0.64870E+02    0.52848E-01    0.11085E+01
   269    0.64596E+02    0.54401E-01    0.11257E+01
   270    0.64316E+02    0.55982E-01    0.11427E+01
   271    0.64030E+02    0.57591E-01    0.11594E+01
   272    0.63740E+02    0.59228E-01    0.11758E+01
   273    0.63444E+02    0.60894E-01    0.11919E+01
   274    0.63144E+02    0.62588E-01    0.12077E+01
   275    0.62839E+02    0.64310E-01    0.12233E+01
   276    0.62529E+02    0.66060E-01    0.12385E+01
   277    0.62214E+02    0.67838E-01    0.12534E+01
   278    0.61895E+02    0.69644E-01    0.12679E+01
   279    0.61571E+02    0.71478E-01    0.12822E+01
   280    0.61243E+02    0.73341E-01    0.12961E+01
   281    0.60911E+02    0.75232E-01    0.13096E+01
   282    0.60574E+02    0.77150E-01    0.13227E+01
   283    0.60234E+02    0.79097E-01    0.13355E+01
   284    0.59889E+02    0.81072E-01    0.13479E+01
   285    0.59541E+02    0.83075E-01    0.13599E+01
   286    0.59189E+02    0.85105E-01    0.13715E+01
   287    0.58833E+02    0.87162E-01    0.13827E+01
   288    0.58474E+02    0.89245E-01    0.13935E+01
   289    0.58112E+02    0.91352E-01    0.14039E+01
   290    0.57746E+02    0.93484E-01    0.14138E+01
   291    0.57378E+02    0.95640E-01    0.14234E+01
   292    0.57006E+02    0.97819E-01    0.14325E+01
   293    0.56632E+02    0.10002E+00    0.14413E+01
   294    0.56255E+02    0.10224E+00    0.14496E+01
   295    0.55875E+02    0.10448E+00    0.14574E+01
   296    0.55493E+02    0.10675E+00    0.14649E+01
   297    0.55109E+02    0.10903E+00    0.14719E+01
   298    0.54723E+02    0.11133E+00    0.14785E+01
   299    0.54335E+02    0.11365E+00    0.14846E+01
   300    0.53945E+02    0.11598E+00    0.14903E+01
   301    0.53553E+02    0.11833E+00    0.14956E+01
   302    0.53160E+02    0.12070E+00    0.15004E+01
   303    0.52766E+02    0.12308E+00    0.15047E+01
   304    0.52370E+02    0.12547E+00    0.15087E+01
