#    L    TT             EE             TE          
   269    0.14243E+06    0.64838E+02    0.39649E+03
   270    0.14325E+06    0.66741E+02    0.40761E+03
   271    0.14407E+06    0.68691E+02    0.41870E+03
   272    0.14489E+06    0.70687E+02    0.42975E+03
   273    0.14570E+06    0.72730E+02    0.44075E+03
   274    0.14651E+06    0.74821E+02    0.45170E+03
   275    0.14732E+06    0.76961E+02    0.46258E+03
   276    0.14812E+06    0.79149E+02    0.47340E+03
   277    0.14892E+06    0.81388E+02    0.48414E+03
   278    0.14972E+06    0.83677E+02    0.49480E+03
   279    0.15051E+06    0.86017E+02    0.50537E+03
   280    0.15130E+06    0.88410E+02    0.51583E+03
   281    0.15208E+06    0.90854E+02    0.52620E+03
   282    0.15286E+06    0.93352E+02    0.53645E+03
   283    0.15364E+06    0.95904E+02    0.54657E+03
   284    0.15441E+06    0.98510E+02    0.55658E+03
   285    0.15518E+06    0.10117E+03    0.56644E+03
   286    0.15594E+06    0.10389E+03    0.57616E+03
   287    0.15670E+06    0.10666E+03    0.58571E+03
   288    0.15746E+06    0.10949E+03    0.59510E+03
   289    0.15821E+06    0.11237E+03    0.60430E+03
   290    0.15896E+06    0.11530E+03    0.61330E+03
   291    0.15970E+06    0.11829E+03    0.62210E+03
   292    0.16045E+06    0.12134E+03    0.63067E+03
   293    0.16118E+06    0.12444E+03    0.63900E+03
   294    0.16192E+06    0.12759E+03    0.64709E+03
   295    0.16265E+06    0.13080E+03    0.65492E+03
   296    0.16337E+06    0.13406E+03    0.66248E+03
   297    0.16410E+06    0.13738E+03    0.66976E+03
   298    0.16482E+06    0.14075E+03    0.67674E+03
   299    0.16553E+06    0.14418E+03    0.68341E+03
   300    0.16625E+06    0.14765E+03    0.68975E+03
   301    0.16696E+06    0.15119E+03    0.69577E+03
   302    0.16766E+06    0.15477E+03    0.70144E+03
   303    0.16837E+06    0.15841E+03    0.70675E+03
   304    0.16907E+06    0.16210E+03    0.71169E+03
   305    0.16977E+06    0.16585E+03    0.71624E+03
   306    0.17046E+06    0.16965E+03    0.72040E+03
   307    0.17116E+06    0.17350E+03    0.72416E+03
   308    0.17185E+06    0.17741E+03    0.72749E+03
   309    0.17253E+06    0.18136E+03    0.73039E+03
   310    0.17322E+06    0.18538E+03    0.73284E+03
   311    0.17390E+06    0.18944E+03    0.73484E+03
   312    0.17458E+06    0.19356E+03    0.73637E+03
   313    0.17525E+06    0.19773E+03    0.73741E+03
   314    0.17593E+06    0.20195E+03    0.73796E+03
   315    0.17660E+06    0.20622E+03    0.73800E+03
   316    0.17727E+06    0.21055E+03    0.73752E+03
   317    0.17794E+06    0.21493E+03    0.73652E+03
   318    0.17860E+06    0.21936E+03    0.73496E+03
   319    0.17926E+06    0.22384E+03    0.73285E+03
   320    0.17993E+06    0.22837E+03    0.73017E+03
   321    0.18058E+06    0.23296E+03    0.72691E+03
   322    0.18124E+06    0.23760E+03    0.72305E+03
   323    0.18190E+06    0.24229E+03    0.71859E+03
   324    0.18255E+06    0.24703E+03    0.71351E+03
   325    0.18320E+06    0.25182E+03    0.70780E+03
   326    0.18385E+06    0.25667E+03    0.70144E+03
   327    0.18450E+06    0.26156E+03    0.69443E+03
   328    0.18514E+06    0.26651E+03    0.68676E+03
   329    0.18579E+06    0.27150E+03    0.67842E+03
   330    0.18643E+06    0.27654E+03    0.66942E+03
   331    0.18708E+06    0.28163E+03    0.65974E+03
   332    0.18772E+06    0.28675E+03    0.64938E+03
   333    0.18836E+06    0.29192E+03    0.63833E+03
   334    0.18900E+06    0.29713E+03    0.62660E+03
   335    0.18964E+06    0.30238E+03    0.61418E+03
   336    0.19028E+06    0.30767E+03    0.60106E+03
   337    0.19093E+06    0.31299E+03    0.58724E+03
   338    0.19157E+06    0.31834E+03    0.57271E+03
   339    0.19221E+06    0.32373E+03    0.55747E+03
   340    0.19285E+06    0.32915E+03    0.54151E+03
   341    0.19350E+06    0.33459E+03    0.52484E+03
   342    0.19414E+06    0.34007E+03    0.50744E+03
   343    0.19479E+06    0.34556E+03    0.48931E+03
   344    0.19543E+06    0.35109E+03    0.47045E+03
   345    0.19608E+06    0.35664E+03    0.45085E+03
   346    0.19673E+06    0.36220E+03    0.43051E+03
   347    0.19739E+06    0.36779E+03    0.40941E+03
   348    0.19804E+06    0.37340E+03    0.38757E+03
   349    0.19870E+06    0.37902E+03    0.36497E+03
   350    0.19936E+06    0.38465E+03    0.34161E+03
   351    0.20002E+06    0.39030E+03    0.31749E+03
   352    0.20069E+06    0.39596E+03    0.29259E+03
   353    0.20136E+06    0.40163E+03    0.26692E+03
   354    0.20203E+06    0.40731E+03    0.24047E+03
   355    0.20270E+06    0.41300E+03    0.21324E+03
   356    0.20338E+06    0.41869E+03    0.18521E+03
   357    0.20406E+06    0.42438E+03    0.15640E+03
   358    0.20475E+06    0.43008E+03    0.12678E+03
   359    0.20544E+06    0.43578E+03    0.96368E+02
   360    0.20614E+06    0.44147E+03    0.65146E+02
   361    0.20684E+06    0.44717E+03    0.33112E+02
   362    0.20754E+06    0.45286E+03    0.26291E+00
   363    0.20825E+06    0.45854E+03   -0.33407E+02
   364    0.20896E+06    0.46421E+03   -0.67902E+02
   365    0.20968E+06    0.46988E+03   -0.10323E+03
   366    0.21041E+06    0.47554E+03   -0.13939E+03
   367    0.21114E+06    0.48118E+03   -0.17638E+03
   368    0.21187E+06    0.48681E+03   -0.21422E+03
   369    0.21262E+06    0.49242E+03   -0.25291E+03
   370    0.21336E+06    0.49802E+03   -0.29243E+03
   371    0.21412E+06    0.50360E+03   -0.33276E+03
   372    0.21488E+06    0.50915E+03   -0.37390E+03
   373    0.21565E+06    0.51468E+03   -0.41583E+03
   374    0.21642E+06    0.52019E+03   -0.45854E+03
   375    0.21720E+06    0.52567E+03   -0.50200E+03
   376    0.21799E+06    0.53112E+03   -0.54620E+03
   377    0.21879E+06    0.53653E+03   -0.59114E+03
   378    0.21959E+06    0.54192E+03   -0.63678E+03
   379    0.22040E+06    0.54726E+03   -0.68313E+03
   380    0.22122E+06    0.55257E+03   -0.73016E+03
   381    0.22204E+06    0.55784E+03   -0.77787E+03
   382    0.22288E+06    0.56307E+03   -0.82622E+03
   383    0.22372E+06    0.56825E+03   -0.87522E+03
   384    0.22457E+06    0.57339E+03   -0.92484E+03
   385    0.22543E+06    0.57848E+03   -0.97508E+03
   386    0.22629E+06    0.58352E+03   -0.10259E+04
   387    0.22717E+06    0.58851E+03   -0.10773E+04
   388    0.22805E+06    0.59344E+03   -0.11293E+04
   389    0.22895E+06    0.59832E+03   -0.11818E+04
   390    0.22985E+06    0.60314E+03   -0.12349E+04
   391    0.23076E+06    0.60790E+03   -0.12885E+04
   392    0.23168E+06    0.61259E+03   -0.13426E+04
   393    0.23262E+06    0.61722E+03   -0.13971E+04
   394    0.23356E+06    0.62179E+03   -0.14522E+04
   395    0.23451E+06    0.62629E+03   -0.15077E+04
   396    0.23547E+06    0.63071E+03   -0.15637E+04
   397    0.23644E+06    0.63507E+03   -0.16201E+04
   398    0.23742E+06    0.63935E+03   -0.16769E+04
   399    0.23841E+06    0.64355E+03   -0.17341E+04
   400    0.23942E+06    0.64768E+03   -0.17917E+04
   401    0.24043E+06    0.65172E+03   -0.18497E+04
   402    0.24145E+06    0.65568E+03   -0.19081E+04
   403    0.24249E+06    0.65956E+03   -0.19667E+04
   404    0.24354E+06    0.66335E+03   -0.20258E+04
   405    0.24459E+06    0.66705E+03   -0.20851E+04
   406    0.24566E+06    0.67066E+03   -0.21447E+04
   407    0.24675E+06    0.67418E+03   -0.22046E+04
   408    0.24784E+06    0.67760E+03   -0.22648E+04
   409    0.24895E+06    0.68093E+03   -0.23252E+04
   410    0.25006E+06    0.68416E+03   -0.23859E+04
   411    0.25119E+06    0.68728E+03   -0.24468E+04
   412    0.25234E+06    0.69031E+03   -0.25079E+04
   413    0.25349E+06    0.69324E+03   -0.25691E+04
   414    0.25466E+06    0.69606E+03   -0.26305E+04
   415    0.25584E+06    0.69879E+03   -0.26921E+04
   416    0.25703E+06    0.70141E+03   -0.27537E+04
   417    0.25823E+06    0.70394E+03   -0.28153E+04
   418    0.25945E+06    0.70637E+03   -0.28770E+04
   419    0.26068E+06    0.70870E+03   -0.29387E+04
   420    0.26191E+06    0.71093E+03   -0.30004E+04
   421    0.26317E+06    0.71306E+03   -0.30620E+04
   422    0.26443E+06    0.71509E+03   -0.31235E+04
   423    0.26570E+06    0.71703E+03   -0.31849E+04
   424    0.26699E+06    0.71887E+03   -0.32462E+04
   425    0.26829E+06    0.72061E+03   -0.33074E+04
   426    0.26960E+06    0.72226E+03   -0.33683E+04
   427    0.27092E+06    0.72381E+03   -0.34290E+04
   428    0.27225E+06    0.72526E+03   -0.34895E+04
   429    0.27359E+06    0.72662E+03   -0.35497E+04
   430    0.27495E+06    0.72788E+03   -0.36096E+04
